title,price,cpu,ram,graphic,SSD,resolution
โน๊ตบุ๊ค Acer Nitro 16 AN16-43-R7N7 Notebook,"฿55,990",AMD Ryzen 9 8945HS,32GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2560 x 1600 16"" 165Hz IPS"
โน๊ตบุ๊ค Asus TUF F17 FX707VV-HX128W Gaming Notebook,"฿48,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"1920 x 1080 (Full HD) 17.3"" 144Hz IPS"
โน๊ตบุ๊ค MSI Katana 15 B13VGK-2039TH Gaming Notebook,"฿47,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1440 (2K QHD) 15.6"" 165Hz IPS"
โน๊ตบุ๊ค MSI Sword 16 HX B14VGKG-266TH Gaming Notebook,"฿55,990",Intel Core i7-14650HX,16GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค Asus ROG Zephyrus G14 GA403UV-QS184WF Gaming Notebook,"฿69,990",AMD Ryzen 9 8945HS,32GB,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2880 x 1800 14"" 120Hz OLED"
โน๊ตบุ๊ค Asus TUF A15 FA506NFR-HN006W Gaming Notebook,"฿25,990",AMD Ryzen 7 7000 Series,16GB DDR5,NVIDIA GeForce RTX 2050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Asus ROG ZEPHYRUS G14 GA403UU-QS097WS Notebook,"฿57,990",AMD Ryzen 9 8945HS,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,1TB SSD,"2880 x 1800 14"" 120Hz OLED"
โน๊ตบุ๊ค Asus TUF FX507ZC4-HN072W Gaming Notebook,"฿32,990",Intel Core i7-12700H,16GB DDR5,NVIDIA GeForce RTX 3050 Laptop,1TB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุุ๊ค Gigabyte AORUS 15 BKF-73TH583SH Gaming Notebook,"฿56,990",Intel Core i7-13700HX,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"1920 x 1080 (Full HD) 15.6"" 360Hz IPS"
โน๊ตบุ๊ค Gigabyte G5 MF5-G2TH353SH Gaming Notebook,"฿31,990",Intel Core i7-12650H,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Gigabyte G5 MF5-H2TH353KH Gaming Notebook,"฿30,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Gigabyte AORUS 15 BKG-13TH754CH Gaming Notebook,"฿54,990",Intel Core Ultra 7 155H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2560 x 1440 (2K QHD) 15.6"" 165Hz IPS"
โน๊ตบุ๊ค Gigabyte AORUS 17X AZF-D5TH665SH Gaming Notebook,"฿99,990",Intel Core i9-13980HX,32GB DDR5,NVIDIA GeForce RTX 4090 Laptop,2TB SSD,"2560 x 1440 (2K QHD) 17.3"" 240Hz IPS"
โน๊ตบุ๊ค MSI Thin 15 B12VE-1896TH Gaming Notebook,"฿28,990",Intel Core i7-12650H,16GB DDR4,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Thin 15 B12UC-1887TH Gaming Notebook,"฿24,990",Intel Core i7-12650H,16GB DDR4,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
