title,price,cpu,ram,graphic,SSD,resolution
โน๊ตบุ๊ค MSI Katana 15 B13VGK-1636TH Gaming Notebook,"฿51,990",Intel Core i9-13900H,16GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1440 (2K QHD) 15.6"" 165Hz IPS"
โน๊ตบุ๊ค Asus TUF F17 FX707VV-HX129W Gaming Notebook,"฿45,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"1920 x 1080 (Full HD) 17.3"" 144Hz IPS"
โน๊ตบุ๊ค Asus TUF F17 FX707VU-HX106W Gaming Notebook,"฿42,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 17.3"" 144Hz IPS"
โน๊ตบุ๊ค Asus TUF F15 FX507VV-LP147W Gaming Notebook,"฿42,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Acer Predator Helios Neo 16 PHN16-71-57QT Gaming Notebook,"฿45,990",Intel Core i5-13500HX,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"2560 x 1600 16"" 165Hz IPS"
โน๊ตบุ๊ค Acer Predator Helios Neo 16 PHN16-71-78P1 Gaming Notebook,"฿43,990",Intel Core i7-13700HX,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"2560 x 1600 16"" 165Hz IPS"
โน๊ตบุ๊ค HP Victus 16-r0145TX Gaming Notebook,"฿44,990",Intel Core i7-13700HX,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 16.1"" 165Hz IPS"
โน๊ตบุ๊ค Lenovo IdeaPad Gaming 3 15ACH6-82K2027UTA Gaming Notebook,"฿24,990",AMD Ryzen 5 5500H,16GB DDR4,NVIDIA GeForce RTX 2050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค HP Victus 15-fb1010AX Gaming Notebook,"฿25,990",AMD Ryzen 5 7535HS,16GB DDR5,NVIDIA GeForce RTX 2050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Cyborg 15 A12UCX-642TH Gaming Notebook,"฿21,990",Intel Core i5-12450H,16GB DDR5,NVIDIA GeForce RTX 2050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Katana 17 B13VEK-1008TH Gaming Notebook,"฿42,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 17.3"" 144Hz IPS"
โน๊ตบุ๊ค Asus TUF F15 FX507ZC4-HN081W Gaming Notebook,"฿26,990",Intel Core i5-12500H,8GB DDR4,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Katana 17 B13VEK-889TH Gaming Notebook,"฿39,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 17.3"" 144Hz IPS"
โน๊ตบุ๊ค MSI Raider GE68HX 13VG-240TH Gaming Notebook,"฿82,990",Intel Core i9-13980HX,32GB DDR5,NVIDIA GeForce RTX 4070 Laptop,2TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค MSI Stealth 16 Studio A13VG-410TH Gaming Notebook,"฿82,990",Intel Core i9-13900H,32GB DDR5,NVIDIA GeForce RTX 4070 Laptop,2TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค MSI Bravo 15 C7UCX-261TH Gaming Notebook,"฿24,990",AMD Ryzen 5 7535HS,8GB DDR5,NVIDIA GeForce RTX 2050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Cyborg 15 A12VE-627TH Gaming Notebook,"฿29,990",Intel Core i5-12450H,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Cyborg 15 A12VE-626TH Gaming Notebook,"฿37,990",Intel Core i7-12650H,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Cyborg 15 A12VF-623TH Gaming Notebook,"฿33,990",Intel Core i7-12650H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Katana 17 B13VFK-1007TH Gaming Notebook,"฿46,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"1920 x 1080 (Full HD) 17.3"" 144Hz IPS"
โน๊ตบุ๊ค MSI Katana 17 B13VGK-1006TH Gaming Notebook,"฿59,990",Intel Core i9-13900H,16GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"1920 x 1080 (Full HD) 17.3"" 144Hz IPS"
โน๊ตบุ๊ค MSI Katana 15 B12VGK-1638TH Gaming Notebook,"฿39,990",Intel Core i7-12650H,16GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Katana 15 B12VGK-1639TH Gaming Notebook,"฿40,990",Intel Core i5-12450H,16GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Asus TUF A15 FA507RM-HN082W Gaming Notebook,"฿32,990",AMD Ryzen 7 6800H,16GB DDR5,NVIDIA GeForce RTX 3060 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo Legion Slim 5 16APH8-82Y90006TA Gaming Notebook,"฿59,990",AMD Ryzen 7 7840HS,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค MSI Raider GE68HX 13VI-209TH Gaming Notebook,"฿129,990",Intel Core i9-13980HX,32GB DDR5,NVIDIA GeForce RTX 4090 Laptop,2TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค MSI Vector GP68HX 13VH-210TH Gaming Notebook,"฿89,990",Intel Core i9-13950HX,32GB DDR5,NVIDIA GeForce RTX 4080 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค Acer Nitro V 15 ANV15-51-578S Gaming Notebook,"฿22,990",Intel Core i5-13420H,16GB DDR5,NVIDIA GeForce RTX 2050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Gigabyte G5 KF5-G3TH353SH Gaming Notebook,"฿34,990",Intel Core i7-12650H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz"
โน๊ตบุ๊ค Acer Predator Helios 3D SpatialLabs Edition PH3D15-71-90NR Gaming Notebook,"฿120,900",Intel Core i9-13900HX,32GB DDR5,NVIDIA GeForce RTX 4080 Laptop,1TB SSD,"3840 x 2160 (4K UHD) 15.6"" IPS"
โน๊ตบุ๊ค Acer Predator Helios Neo 16 PHN16-71-921N Gaming Notebook,"฿55,990",Intel Core i9-13900HX,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2560 x 1600 16"" 165Hz IPS"
โน๊ตบุ๊ค Lenovo Legion Slim 5 16IRH8-82YA0007TA Gaming Notebook,"฿57,990",Intel Core i7-13700H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค HP Victus 16-d1226TX Gaming Notebook,"฿34,990",Intel Core i5-12500H,16GB DDR5,NVIDIA GeForce RTX 3060 Laptop,512GB SSD,"1920 x 1080 (Full HD) 16.1"" 144Hz IPS"
โน๊ตบุ๊ค HP Victus 16-d1225TX Gaming Notebook,"฿29,990",Intel Core i5-12500H,16GB DDR5,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 16.1"" 144Hz IPS"
โน๊ตบุ๊ค HP Victus 15-fa0204TX Gaming Notebook,"฿34,990",Intel Core i7-12700H,16GB DDR4,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo LOQ 16IRH8-82XW0049TA Gaming Notebook,"฿39,990",Intel Core i5-13420H,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1200 16"" 144Hz IPS"
โน๊ตบุ๊ค MSI Stealth 16 Mercedes-AMG Motorsport A13VG-269TH Gaming Notebook,"฿99,900",Intel Core i9-13900H,32GB DDR5,NVIDIA GeForce RTX 4070 Laptop,2TB SSD,"3840 x 2400 16"" 60Hz OLED"
โน๊ตบุ๊ค MSI Vector GP68HX 12VH-049TH Gaming Notebook,"฿89,990",Intel Core i9-12900HX,32GB DDR5,NVIDIA GeForce RTX 4080 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค MSI Thin GF63 12VF-249TH Gaming Notebook,"฿37,990",Intel Core i5-12450H,16GB DDR4,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Thin GF63 12VF-248TH Gaming Notebook,"฿39,990",Intel Core i7-12650H,16GB DDR4,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Katana 17 B12UDXK-031TH Gaming Notebook,"฿43,990",Intel Core i7-12650H,16GB DDR5,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 17.3"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo LOQ 15APH8-82XT004GTA Gaming Notebook,"฿39,990",AMD Ryzen 7 7840HS,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo LOQ 16IRH8-82XW004ATA Gaming Notebook,"฿45,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"1920 x 1200 16"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo LOQ 16APH8-82XU0028TA Gaming Notebook,"฿44,990",AMD Ryzen 7 7840HS,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"1920 x 1200 16"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo LOQ 16APH8-82XU0027TA Gaming Notebook,"฿39,990",AMD Ryzen 5 7640HS,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1200 16"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo LOQ 15IRH8-82XV00BNTA Gaming Notebook,"฿28,990",Intel Core i5-12450H,8GB DDR5,NVIDIA GeForce RTX 2050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo LOQ 15IRH8-82XV00BPTA Gaming Notebook,"฿32,990",Intel Core i5-13420H,16GB DDR5,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo LOQ 15APH8-82XT000JTA Gaming Notebook,"฿46,990",AMD Ryzen 7 7840HS,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Acer Predator Triton 17X PTX17-71-99X6 Gaming Notebook,"฿142,900",Intel Core i9-13900HX,64GB DDR5,NVIDIA GeForce RTX 4090 Laptop,2TB SSD,"2560 x 1600 17"" 250Hz IPS"
โน๊ตบุ๊ค Acer Predator Helios 18 PH18-71-97VX Gaming Notebook,"฿105,900",Intel Core i9-13900HX,32GB DDR5,NVIDIA GeForce RTX 4080 Laptop,2TB SSD,"2560 x 1600 18"" 240Hz IPS"
โน๊ตบุ๊ค Acer Predator Helios 16 PH16-71-78MQ Gaming Notebook,"฿79,990",Intel Core i7-13700HX,32GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค Acer Nitro 16 AN16-41-R12P Gaming Notebook,"฿65,990",AMD Ryzen 9 7940HS,32GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1600 16"" 165Hz IPS"
โน๊ตบุ๊ค Acer Nitro 16 AN16-41-R846 Gaming Notebook,"฿47,990",AMD Ryzen 7 7840HS,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"1920 x 1200 16"" 165Hz IPS"
โน๊ตบุ๊ค Acer Nitro 16 AN16-41-R6VJ Gaming Notebook,"฿42,990",AMD Ryzen 7 7840HS,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1200 16"" 165Hz IPS"
โน๊ตบุ๊ค Acer Nitro 16 AN16-41-R4ZR Gaming Notebook,"฿37,990",AMD Ryzen 5 7640HS,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1200 16"" 165Hz IPS"
โน๊ตบุ๊ค MSI Bravo 15 C7VFK-097TH Gaming Notebook,"฿42,990",AMD Ryzen 7 7735HS,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Thin GF63 12UCX-463TH Gaming Notebook,"฿26,990",Intel Core i5-12450H,16GB DDR4,NVIDIA GeForce RTX 2050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Katana 15 B13VFK-1086TH Gaming Notebook,"฿56,990",Intel Core i9-13900H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2560 x 1440 (2K QHD) 15.6"" 165Hz IPS"
โน๊ตบุ๊ค MSI Katana 15 B13VGK-1203TH Gaming Notebook,"฿53,490",Intel Core i5-13420H,16GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1440 (2K QHD) 15.6"" 165Hz IPS"
โน๊ตบุ๊ค MSI Katana 15 B13VGK-1087TH Gaming Notebook,"฿47,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1440 (2K QHD) 15.6"" 165Hz IPS"
โน๊ตบุ๊ค MSI Katana 17 B13VEK-453TH Gaming Notebook,"฿44,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 17.3"" 144Hz IPS"
โน๊ตบุ๊ค MSI Katana 17 B13VFK-620TH Gaming Notebook,"฿49,990",Intel Core i9-13900H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2560 x 1440 (2K QHD) 17.3"" 240Hz IPS"
โน๊ตบุ๊ค Acer Predator Helios Neo 16 PHN16-71-77BW Gaming Notebook,"฿46,990",Intel Core i7-13700HX,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"2560 x 1600 16"" 165Hz IPS"
โน๊ตบุ๊ค Acer Predator Helios Neo 16 PHN16-71-53TD Gaming Notebook,"฿42,990",Intel Core i5-13500HX,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"2560 x 1600 16"" 165Hz IPS"
โน๊ตบุ๊ค HP Omen 16-xf0050AX Gaming Notebook,"฿49,990",AMD Ryzen 7 7840HS,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2560 x 1440 (2K QHD) 16.1"" 240Hz IPS"
โน๊ตบุ๊ค HP Omen 16-wf0108TX Gaming Notebook,"฿62,990",Intel Core i9-13900HX,32GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2560 x 1440 (2K QHD) 16.1"" 240Hz IPS"
โน๊ตบุ๊ค HP Omen 16-u0054TX Gaming Notebook,"฿89,990",Intel Core i9-13900HX,32GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz"
โน๊ตบุ๊ค HP Victus 16-s0080AX Gaming Notebook,"฿39,990",AMD Ryzen 7 7840HS,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 16.1"" 144Hz IPS"
โน๊ตบุ๊ค HP Victus 16-r0133TX Gaming Notebook,"฿38,990",Intel Core i5-13500HX,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 16.1"" 165Hz IPS"
โน๊ตบุ๊ค MSI Vector GP78HX 13VH-281TH Gaming Notebook,"฿102,990",Intel Core i9-13980HX,32GB DDR5,NVIDIA GeForce RTX 4080 Laptop,1TB SSD,"2560 x 1600 17"" 240Hz IPS"
โน๊ตบุ๊ค MSI Stealth 14 Studio A13VE-204TH Gaming Notebook,"฿56,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"2560 x 1600 14"" 240Hz IPS"
โน๊ตบุ๊ค MSI Stealth 16 Studio A13VF-221TH Gaming Notebook,"฿79,990",Intel Core i9-13900H,32GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค MSI Stealth 17 Studio A13VH-085TH Gaming Notebook,"฿129,990",Intel Core i9-13900H,32GB DDR5,NVIDIA GeForce RTX 4080 Laptop,2TB SSD,"3840 x 2160 (4K UHD) 17.3"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo IdeaPad Gaming 3 15IAH7-82S9014GTA Gaming Notebook,"฿27,990",Intel Core i5-12450H,8GB DDR4,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 120Hz IPS"
โน๊ตบุ๊ค Acer Predator Helios Neo 16 PHN16-71-71EE Gaming Notebook,"฿49,990",Intel Core i7-13700HX,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"2560 x 1600 16"" 165Hz IPS"
โน๊ตบุ๊ค Acer Predator Helios Neo 16 PHN16-71-58MD Gaming Notebook,"฿39,990",Intel Core i5-13500HX,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1200 16"" 165Hz IPS"
โน๊ตบุ๊ค Asus ROG Flow Z13 GZ301VV-MU020WS Gaming Notebook,"฿69,990",Intel Core i9-13900H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2560 x 1600 13.4"" 165Hz IPS"
โน๊ตบุ๊ค Asus ROG Strix G18 G814JV-N6037W Gaming Notebook,"฿69,990",Intel Core i9-13980HX,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2560 x 1600 18"" 240Hz IPS"
โน๊ตบุ๊ค Asus ROG Zephyrus G14 GA402XV-N2072WS Gaming Notebook,"฿67,990",AMD Ryzen 9 7940HS,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2560 x 1600 14"" 165Hz IPS"
โน๊ตบุ๊ค Asus ROG Strix G16 G614JU-N3103W Gaming Notebook,"฿54,990",Intel Core i9-13980HX,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1200 16"" 165Hz IPS"
โน๊ตบุ๊ค Asus ROG Zephyrus G16 GU603ZU-N3030WS Gaming Notebook,"฿44,990",Intel Core i7-12700H,16GB DDR4,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1200 16"" 165Hz IPS"
โน๊ตบุ๊ค HP Victus 16-d1213TX Gaming Notebook,"฿26,990",Intel Core i5-12500H,8GB DDR5,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 16.1"" 144Hz IPS"
โน๊ตบุ๊ค Asus TUF A15 FA507XI-HQ015W Gaming Notebook,"฿49,990",AMD Ryzen 9 7940HS,16GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1440 (2K QHD) 15.6"" 165Hz IPS"
โน๊ตบุ๊ค Gigabyte G5 MF-F2TH313SH Gaming Notebook,"฿27,990",Intel Core i5-12450H,16GB DDR4,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz"
โน๊ตบุ๊ค Asus ROG Flow Z13 GZ301VV-MU015WS Gaming Notebook,"฿69,990",Intel Core i9-13900H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2560 x 1600 13.4"" 165Hz IPS"
โน๊ตบุ๊ค Colorful X15 AT23-i7/16/512 Gaming Notebook,"฿52,980",Intel Core i7-13700HX,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"2560 x 1440 (2K QHD) 15.6"" 165Hz"
โน๊ตบุ๊ค MSI Raider GE68HX 13VG-201TH Gaming Notebook,"฿89,990",Intel Core i9-13980HX,32GB DDR5,NVIDIA GeForce RTX 4070 Laptop,2TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค Asus ROG Strix G17 G713PU-LL043W Gaming Notebook,"฿49,990",AMD Ryzen 9 7845HX,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,1TB SSD,"2560 x 1440 (2K QHD) 17.3"" 240Hz IPS"
โน๊ตบุ๊ค MSI Raider GE68HX 13VG-023TH Gaming Notebook,"฿119,990",Intel Core i7-13700HX,32GB DDR5,NVIDIA GeForce RTX 4070 Laptop,2TB SSD,"3840 x 2400 16"" 120Hz IPS"
โน๊ตบุ๊ค MSI Raider GE68HX 13VG-022TH Gaming Notebook,"฿124,990",Intel Core i9-13950HX,32GB DDR5,NVIDIA GeForce RTX 4070 Laptop,2TB SSD,"3840 x 2400 16"" 120Hz IPS"
โน๊ตบุ๊ค MSI Pulse 17 B13VFK-098TH Gaming Notebook,"฿70,990",Intel Core i7-13700H,32GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"1920 x 1080 (Full HD) 17.3"" 144Hz IPS"
โน๊ตบุ๊ค MSI Katana 17 B12UDXK-451TH Gaming Notebook,"฿35,990",Intel Core i7-12650H,8GB DDR5,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 17.3"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo IdeaPad Gaming 3 15ARH7-82SB00JATA Gaming Notebook,"฿39,990",AMD Ryzen 5 7535HS,8GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"2560 x 1440 (2K QHD) 15.6"" 165Hz IPS"
โน๊ตบุ๊ค Asus TUF F17 FX707ZC4-HX035W Gaming Notebook,"฿34,990",Intel Core i7-12700H,16GB DDR4,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 17.3"" 144Hz IPS"
โน๊ตบุ๊ค Asus TUF A15 FA507RF-HN018W Gaming Notebook,"฿23,990",AMD Ryzen 7 6800HS,8GB DDR5,NVIDIA GeForce RTX 2050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Asus ROG Strix G17 G713RC-HX032W Gaming Notebook,"฿36,990",AMD Ryzen 7 6800H,16GB DDR5,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 17.3"" 144Hz IPS"
โน๊ตบุ๊ค Asus ROG Strix G15 G513RC-LP179W Gaming Notebook,"฿29,990",AMD Ryzen 7 6800H,8GB DDR5,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Asus ROG Zephyrus Duo 16 GX650PY-NM032WS Gaming Notebook,"฿159,990",AMD Ryzen 9 7945HX,32GB DDR5,NVIDIA GeForce RTX 4090 Laptop,2TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค Lenovo Legion Pro 5 16IRX8-82WK0013TA Gaming Notebook,"฿62,990",Intel Core i7-13700HX,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค Lenovo Legion Pro 7 16IRX8H-82WQ000JTA Gaming Notebook,"฿99,990",Intel Core i9-13900HX,32GB DDR5,NVIDIA GeForce RTX 4080 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค Gigabyte G5 MF-E2TH333SH Gaming Notebook,"฿27,990",Intel Core i5-12500H,8GB DDR4,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz"
โน๊ตบุ๊ค Gigabyte G5 KF-E3TH313SH Gaming Notebook,"฿29,990",Intel Core i5-12500H,16GB DDR4,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz"
โน๊ตบุ๊ค Gigabyte AORUS 15 9KF-E3TH583SH Gaming Notebook,"฿34,990",Intel Core i5-12500H,8GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 360Hz"
โน๊ตบุ๊ค Gigabyte AORUS 15 BKF-73TH754SH Gaming Notebook,"฿39,990",Intel Core i7-13700H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2560 x 1440 (2K QHD) 15.6"" 165Hz"
โน๊ตบุ๊ค Gigabyte AORUS 15 BSF-73TH754SH Gaming Notebook,"฿59,990",Intel Core i7-13700H,16GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1440 (2K QHD) 15.6"" 165Hz"
โน๊ตบุ๊ค Gigabyte AORUS 17 BSF-73TH654SH Gaming Notebook,"฿59,990",Intel Core i7-13700H,16GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1440 (2K QHD) 17.3"" 240Hz"
โน๊ตบุ๊ค Gigabyte AORUS 15X AKF-D3TH754SH Gaming Notebook,"฿69,990",Intel Core i9-13980HX,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2560 x 1440 (2K QHD) 15.6"" 165Hz"
โน๊ตบุ๊ค Asus TUF A15 FA507NU-LP031W Gaming Notebook,"฿36,990",AMD Ryzen 7 7735HS,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Asus TUF F15 FX507ZC4-HN002W Gaming Notebook,"฿34,990",Intel Core i7-12700H,16GB DDR4,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
